district,Month and Year,Homicide Total,Assault (Family) Total,Assault (Non-Family) Total,Stealing of Motor Vehicle,Stealing Total,Property Damage Total,Arson Total,Drug Offences Total,Regulated Weapons Offences
Midland,1/02/2009,0,68,96,68,547,307,7,78,10
Midland,1/03/2009,2,68,112,50,517,337,21,83,14
Midland,1/04/2009,0,72,82,63,478,316,17,116,14
Midland,1/05/2009,0,59,79,68,581,266,35,143,19
Midland,1/06/2009,0,38,67,54,514,274,7,106,4
Midland,1/07/2009,0,44,65,69,467,252,9,159,18
Midland,1/08/2009,0,74,61,43,391,270,11,116,13
Midland,1/09/2009,0,47,56,43,392,244,17,137,7
Midland,1/10/2009,0,57,84,27,497,278,22,103,11
Midland,1/11/2009,0,64,90,28,434,293,8,91,6
Midland,1/12/2009,1,91,78,38,457,301,14,94,24
Midland,1/01/2010,0,80,95,52,422,301,24,58,10
Midland,1/02/2010,1,62,107,29,400,246,17,86,14
Midland,1/03/2010,1,98,97,46,452,261,8,80,17
Midland,1/04/2010,0,51,71,59,405,191,7,156,17
Midland,1/05/2010,2,70,73,43,437,234,6,87,11
Midland,1/06/2010,0,66,68,40,450,219,2,116,28
Midland,1/07/2010,0,65,95,49,435,233,4,80,11
Midland,1/08/2010,0,58,103,48,430,267,17,67,17
Midland,1/09/2010,1,67,80,56,483,280,7,66,12
Midland,1/10/2010,0,64,97,43,506,335,7,82,13
Midland,1/11/2010,1,74,114,62,455,292,11,80,25
Midland,1/12/2010,0,97,91,86,533,345,7,66,23
Midland,1/01/2011,0,102,80,64,532,306,6,52,27
Midland,1/02/2011,2,86,96,47,409,277,9,58,23
Midland,1/03/2011,1,105,128,49,483,329,14,95,15
Midland,1/04/2011,0,98,80,64,497,269,13,102,18
Midland,1/05/2011,1,89,84,51,540,272,4,84,13
Midland,1/06/2011,0,59,78,56,576,294,7,50,9
Midland,1/07/2011,0,61,73,53,536,280,6,81,22
Midland,1/08/2011,1,81,75,57,510,284,7,97,45
Midland,1/09/2011,1,66,73,54,556,262,5,81,26
Midland,1/10/2011,0,105,77,66,564,391,7,98,21
Midland,1/11/2011,0,87,90,63,519,235,6,69,12
Midland,1/12/2011,0,113,91,67,524,264,10,105,20
Midland,1/01/2012,1,102,81,81,576,294,18,221,50
Midland,1/02/2012,0,103,89,52,501,240,11,61,12
Midland,1/03/2012,0,106,82,75,553,224,5,81,23
Midland,1/04/2012,0,89,74,67,510,250,21,110,26
Midland,1/05/2012,2,91,70,62,528,229,8,135,29
Midland,1/06/2012,2,79,74,60,532,231,2,106,20
Midland,1/07/2012,1,77,67,75,481,239,8,73,19
Midland,1/08/2012,2,88,70,66,436,214,6,97,17
Midland,1/09/2012,1,95,74,67,452,263,7,79,11
Midland,1/10/2012,0,100,66,96,608,309,9,88,9
Midland,1/11/2012,0,71,70,51,548,332,10,73,15
Midland,1/12/2012,4,125,89,77,573,263,16,88,11
Midland,1/01/2013,0,125,71,80,544,280,23,79,12
Midland,1/02/2013,0,93,107,94,518,255,9,71,28
Midland,1/03/2013,0,94,74,81,593,205,42,83,18
Midland,1/04/2013,0,109,78,62,591,261,20,95,12
Midland,1/05/2013,0,97,56,65,564,210,4,95,37
Midland,1/06/2013,1,92,73,53,644,206,9,127,25
Midland,1/07/2013,3,101,47,40,497,195,0,114,25
Midland,1/08/2013,0,128,73,39,491,251,4,75,39
Midland,1/09/2013,0,119,67,45,518,211,9,106,17
Midland,1/10/2013,0,108,75,74,601,234,9,87,11
Midland,1/11/2013,1,122,68,57,531,251,20,77,32
Midland,1/12/2013,0,126,70,90,520,220,11,105,26
Midland,1/01/2014,1,127,82,84,623,271,21,113,19
Midland,1/02/2014,0,117,79,64,498,191,19,118,22
Midland,1/03/2014,1,148,89,84,537,251,10,83,21
Midland,1/04/2014,2,107,60,58,524,237,12,126,18
Midland,1/05/2014,1,120,66,67,620,235,6,164,28
Midland,1/06/2014,1,98,67,56,583,255,3,109,23
Midland,1/07/2014,2,105,66,70,559,234,1,113,25
Midland,1/08/2014,0,103,69,68,565,195,8,155,34
Midland,1/09/2014,0,104,62,70,591,220,8,140,32
Midland,1/10/2014,0,135,70,59,586,244,7,131,15
Midland,1/11/2014,0,136,62,68,579,250,14,108,27
Midland,1/12/2014,0,147,91,53,581,243,18,205,38
Midland,1/01/2015,0,144,81,44,689,244,11,168,22
Midland,1/02/2015,2,145,76,65,680,245,3,168,24
Midland,1/03/2015,2,125,106,63,622,265,5,189,51
Midland,1/04/2015,0,180,74,51,595,245,4,180,16
Midland,1/05/2015,1,177,76,69,651,230,3,187,46
Midland,1/06/2015,0,157,79,56,739,297,10,211,37
Midland,1/07/2015,0,163,64,72,612,284,3,208,29
Midland,1/08/2015,0,172,82,75,630,279,8,212,41
Midland,1/09/2015,0,159,98,73,611,247,13,198,32
Midland,1/10/2015,0,201,68,61,606,273,12,172,35
Midland,1/11/2015,3,222,97,42,765,307,2,280,32
Midland,1/12/2015,1,185,80,70,589,222,21,184,23
Midland,1/01/2016,0,229,97,107,620,311,14,164,38
Midland,1/02/2016,0,180,96,51,663,298,15,221,37
Midland,1/03/2016,2,186,110,68,613,266,22,239,41
Midland,1/04/2016,1,148,78,65,535,206,10,177,45
Midland,1/05/2016,2,182,98,56,602,219,7,247,33
Midland,1/06/2016,0,152,97,46,527,304,8,242,34
Midland,1/07/2016,1,164,65,56,547,229,8,354,77
Midland,1/08/2016,0,160,80,46,593,258,4,271,35
Midland,1/09/2016,0,141,51,55,594,213,14,246,41
Midland,1/10/2016,0,179,106,54,608,246,5,248,42
Midland,1/11/2016,2,187,96,76,560,327,12,232,33
Midland,1/12/2016,2,184,105,63,581,259,13,158,20
Midland,1/01/2017,0,167,90,60,625,257,12,204,47
Midland,1/02/2017,1,160,95,46,611,224,8,217,40
Midland,1/03/2017,0,155,93,61,551,260,8,248,38
Midland,1/04/2017,0,161,102,59,500,284,12,230,57
Midland,1/05/2017,0,120,85,67,560,202,12,270,50
Midland,1/06/2017,3,131,94,69,610,177,8,257,38
Midland,1/07/2017,0,136,62,44,530,229,4,227,33
Midland,1/08/2017,0,148,81,39,530,173,4,247,55
Midland,1/09/2017,1,135,83,61,534,194,7,178,35
Midland,1/10/2017,0,159,92,52,595,224,9,159,34
Midland,1/11/2017,0,180,111,57,624,232,8,224,33
Midland,1/12/2017,2,173,90,59,540,222,12,147,23
Midland,1/01/2018,0,153,88,55,549,243,11,198,50
Midland,1/02/2018,0,151,98,54,564,213,15,291,46
Midland,1/03/2018,0,157,84,59,580,189,8,239,49
Midland,1/04/2018,0,110,89,50,559,206,10,169,31
Midland,1/05/2018,0,109,94,61,574,224,4,182,30
Midland,1/06/2018,0,141,81,48,575,219,1,214,42
Midland,1/07/2018,5,135,82,61,578,188,5,130,35
Midland,1/08/2018,2,159,94,45,644,203,5,234,51
Midland,1/09/2018,0,150,64,58,541,199,6,215,37
Midland,1/10/2018,0,151,105,56,641,237,6,171,37
Midland,1/11/2018,2,167,100,61,573,255,10,178,32
Midland,1/12/2018,1,177,81,74,536,230,12,198,37
Midland,1/01/2019,0,197,90,60,529,240,5,200,47
Midland,1/02/2019,0,142,127,72,578,214,9,132,33
Midland,1/03/2019,0,145,135,65,637,256,9,174,34
Midland,1/04/2019,1,133,93,63,571,199,6,211,25
Midland,1/05/2019,0,156,86,52,716,209,2,205,28
Midland,1/06/2019,2,136,62,60,589,165,7,148,32
Midland,1/07/2019,2,144,62,54,691,189,1,185,26
Midland,1/08/2019,0,125,111,60,751,236,7,172,31
Midland,1/09/2019,0,139,97,62,625,198,6,175,33
Midland,1/10/2019,1,147,83,65,688,221,6,173,21
Midland,1/11/2019,0,131,89,74,660,205,11,159,28
Midland,1/12/2019,0,159,127,67,668,212,17,216,23
Midland,1/01/2020,0,182,111,82,686,235,12,167,39
Midland,1/02/2020,0,154,115,83,701,218,13,204,30
Midland,1/03/2020,0,180,87,50,593,213,8,213,38
Midland,1/04/2020,0,143,74,36,455,197,4,198,23
Midland,1/05/2020,4,160,84,27,376,160,4,280,28
Midland,1/06/2020,1,113,88,20,294,173,7,220,26
Midland,1/07/2020,1,137,73,30,313,148,3,176,24
Midland,1/08/2020,1,131,85,24,261,192,6,163,34
Midland,1/09/2020,0,156,97,38,318,175,0,216,28
Midland,1/10/2020,0,188,95,35,360,191,2,155,24
Midland,1/11/2020,1,176,108,27,375,180,3,129,18
Midland,1/12/2020,1,168,72,42,415,156,6,167,26
Midland,1/01/2021,1,174,101,34,441,184,5,149,25
Midland,1/02/2021,0,145,78,40,314,172,15,123,18
Midland,1/03/2021,0,179,98,33,447,205,5,134,22
Midland,1/04/2021,2,152,88,42,397,167,5,164,32
Midland,1/05/2021,0,177,85,41,455,190,2,143,19
Midland,1/06/2021,0,157,94,29,478,172,5,235,25
Midland,1/07/2021,0,190,82,57,456,193,1,146,23
Midland,1/08/2021,2,156,82,33,441,174,6,148,28
Midland,1/09/2021,1,141,86,29,396,154,5,120,22
Midland,1/10/2021,1,151,84,31,378,183,4,126,19
Midland,1/11/2021,1,163,90,59,400,200,7,124,18
Midland,1/12/2021,0,141,79,34,376,198,14,128,12
Midland,1/01/2022,1,145,92,46,446,191,26,85,8
Midland,1/02/2022,0,135,79,49,417,179,6,125,19
Midland,1/03/2022,0,172,101,25,438,156,12,96,15
Midland,1/04/2022,0,144,80,44,478,170,4,150,37
Midland,1/05/2022,2,142,93,43,441,170,5,155,39
Midland,1/06/2022,0,128,97,41,424,177,5,135,21
Midland,1/07/2022,0,139,74,48,442,147,4,139,26
Midland,1/08/2022,2,157,73,42,432,148,2,137,24
Midland,1/09/2022,0,173,78,35,442,176,6,114,20
Midland,1/10/2022,1,150,97,62,450,155,3,120,8
Midland,1/11/2022,0,177,95,37,472,158,4,108,15
Midland,1/12/2022,0,243,92,57,497,205,4,95,26
Mirrabooka,1/01/2007,0,88,107,80,828,379,11,127,13
Mirrabooka,1/02/2007,0,69,111,93,672,375,11,128,13
Mirrabooka,1/03/2007,1,62,126,74,818,359,6,138,22
Mirrabooka,1/04/2007,0,57,93,49,797,343,8,123,22
Mirrabooka,1/05/2007,1,47,63,57,731,329,8,177,20
Mirrabooka,1/06/2007,0,62,83,59,658,312,8,132,15
Mirrabooka,1/07/2007,0,47,60,67,698,309,5,125,19
Mirrabooka,1/08/2007,4,61,99,71,705,339,5,129,15
Mirrabooka,1/09/2007,1,63,82,68,696,301,5,153,11
Mirrabooka,1/10/2007,4,56,84,77,827,379,12,154,17
Mirrabooka,1/11/2007,1,66,110,79,767,378,10,147,20
Mirrabooka,1/12/2007,0,55,108,75,807,346,7,127,16
Mirrabooka,1/01/2008,0,67,117,73,828,378,20,92,15
Mirrabooka,1/02/2008,0,76,107,81,753,379,12,124,13
Mirrabooka,1/03/2008,0,63,93,63,694,337,7,145,35
Mirrabooka,1/04/2008,3,53,98,49,726,299,9,120,24
Mirrabooka,1/05/2008,0,50,101,62,788,334,8,132,18
Mirrabooka,1/06/2008,0,43,94,69,820,356,11,146,21
Mirrabooka,1/07/2008,1,40,104,64,780,304,12,169,24
Mirrabooka,1/08/2008,1,42,114,92,824,334,13,138,18
Mirrabooka,1/09/2008,0,62,99,69,762,310,16,133,16
Mirrabooka,1/10/2008,0,59,102,68,789,345,7,132,19
Mirrabooka,1/11/2008,0,85,122,69,751,328,15,124,24
Mirrabooka,1/12/2008,0,59,94,52,755,332,13,180,27
Mirrabooka,1/01/2009,1,69,116,68,850,370,17,162,14
Mirrabooka,1/02/2009,1,59,128,64,704,323,5,126,18
Mirrabooka,1/03/2009,2,71,120,63,704,377,6,145,18
Mirrabooka,1/04/2009,1,70,75,77,706,285,11,142,15
Mirrabooka,1/05/2009,1,46,116,58,661,296,11,99,8
Mirrabooka,1/06/2009,0,71,88,56,658,314,10,135,11
Mirrabooka,1/07/2009,1,78,88,35,550,304,12,145,15
Mirrabooka,1/08/2009,2,57,98,35,537,254,5,110,15
Mirrabooka,1/09/2009,0,63,86,36,602,283,9,152,25
Mirrabooka,1/10/2009,2,66,124,46,689,308,15,142,23
Mirrabooka,1/11/2009,0,75,123,40,680,335,7,173,23
Mirrabooka,1/12/2009,2,93,131,41,685,319,12,159,15
Mirrabooka,1/01/2010,1,97,106,69,658,368,12,113,22
Mirrabooka,1/02/2010,2,87,89,52,599,268,9,118,18
Mirrabooka,1/03/2010,0,74,108,56,625,257,6,134,13
Mirrabooka,1/04/2010,1,65,73,58,609,254,8,122,15
Mirrabooka,1/05/2010,1,80,85,54,592,254,3,182,26
Mirrabooka,1/06/2010,0,62,77,48,616,291,6,169,11
Mirrabooka,1/07/2010,2,68,77,52,573,281,4,205,14
Mirrabooka,1/08/2010,0,71,102,44,574,267,15,125,17
Mirrabooka,1/09/2010,1,64,89,51,650,261,9,91,13
Mirrabooka,1/10/2010,1,74,90,65,683,294,10,86,15
Mirrabooka,1/11/2010,0,64,72,64,665,293,3,89,11
Mirrabooka,1/12/2010,12,87,81,58,608,288,7,64,13
Mirrabooka,1/01/2011,0,79,74,80,669,307,7,80,3
Mirrabooka,1/02/2011,1,84,79,61,672,266,11,102,13
Mirrabooka,1/03/2011,1,56,101,81,783,337,4,110,21
Mirrabooka,1/04/2011,2,54,70,80,775,282,11,117,10
Mirrabooka,1/05/2011,1,54,104,90,779,251,4,115,14
Mirrabooka,1/06/2011,0,42,63,81,845,314,11,114,18
Mirrabooka,1/07/2011,0,39,74,88,694,301,4,76,15
Mirrabooka,1/08/2011,3,55,74,71,747,320,4,154,35
Mirrabooka,1/09/2011,4,55,84,84,801,335,5,142,32
Mirrabooka,1/10/2011,0,45,94,99,917,381,11,118,10
Mirrabooka,1/11/2011,0,38,76,71,810,319,12,82,23
Mirrabooka,1/12/2011,0,53,94,78,838,292,6,109,10
Mirrabooka,1/01/2012,0,67,89,92,844,294,5,109,28
Mirrabooka,1/02/2012,1,54,67,101,904,338,7,266,42
Mirrabooka,1/03/2012,1,64,99,83,845,278,9,114,18
Mirrabooka,1/04/2012,1,50,76,84,703,285,8,135,19
Mirrabooka,1/05/2012,0,41,81,86,851,279,5,131,23
Mirrabooka,1/06/2012,0,80,62,96,758,262,11,170,36
Mirrabooka,1/07/2012,1,86,63,84,786,275,8,209,23
Mirrabooka,1/08/2012,1,91,88,91,760,261,6,151,33
Mirrabooka,1/09/2012,1,98,82,97,890,276,5,151,26
Mirrabooka,1/10/2012,0,114,97,98,862,346,4,109,24
Mirrabooka,1/11/2012,0,103,91,133,800,289,2,130,26
Mirrabooka,1/12/2012,1,116,85,127,817,305,6,217,36
Mirrabooka,1/01/2013,1,83,92,145,802,283,15,124,31
Mirrabooka,1/02/2013,0,104,86,118,846,283,16,120,24
Mirrabooka,1/03/2013,1,90,98,86,706,249,10,156,35
Mirrabooka,1/04/2013,0,97,86,91,722,226,8,120,18
Mirrabooka,1/05/2013,0,94,75,72,756,235,16,118,30
Mirrabooka,1/06/2013,0,108,95,106,698,230,4,95,13
Mirrabooka,1/07/2013,1,114,57,90,794,236,7,93,15
Mirrabooka,1/08/2013,1,94,64,76,611,213,6,117,25
Mirrabooka,1/09/2013,0,92,76,83,688,209,8,138,25
Mirrabooka,1/10/2013,1,109,64,87,796,248,3,137,28
Mirrabooka,1/11/2013,0,87,83,89,755,217,6,121,20
Mirrabooka,1/12/2013,2,126,81,93,787,224,12,159,30
Mirrabooka,1/01/2014,0,120,77,110,914,231,8,128,26
Mirrabooka,1/02/2014,0,82,59,82,742,226,10,104,11
Mirrabooka,1/03/2014,0,105,86,94,803,252,3,142,22
Mirrabooka,1/04/2014,0,83,48,82,845,247,7,154,50
Mirrabooka,1/05/2014,0,89,81,71,932,240,5,168,24
Mirrabooka,1/06/2014,0,79,72,95,814,242,5,124,29
Mirrabooka,1/07/2014,1,59,53,86,801,241,9,173,30
Mirrabooka,1/08/2014,2,73,79,66,814,226,11,156,26
Mirrabooka,1/09/2014,0,68,69,83,790,237,4,200,30
Mirrabooka,1/10/2014,1,73,68,77,800,235,4,196,40
Mirrabooka,1/11/2014,1,102,51,79,718,227,6,124,16
Mirrabooka,1/12/2014,0,118,84,93,784,271,9,220,24
Mirrabooka,1/01/2015,1,139,68,110,865,283,9,163,23
Mirrabooka,1/02/2015,1,117,78,96,829,248,6,172,31
Mirrabooka,1/03/2015,0,125,93,97,847,261,11,194,39
Mirrabooka,1/04/2015,0,111,65,77,757,221,6,206,37
Mirrabooka,1/05/2015,0,143,73,73,880,254,2,278,39
Mirrabooka,1/06/2015,0,156,69,74,900,263,4,188,42
Mirrabooka,1/07/2015,0,151,78,82,868,267,3,204,29
Mirrabooka,1/08/2015,2,152,70,62,810,231,3,183,31
Mirrabooka,1/09/2015,1,114,81,71,770,254,6,160,37
Mirrabooka,1/10/2015,1,173,91,84,884,270,5,187,35
Mirrabooka,1/11/2015,0,163,101,72,857,284,5,203,39
Mirrabooka,1/12/2015,0,177,102,81,762,330,6,232,48
Mirrabooka,1/01/2016,0,193,91,111,844,340,14,239,32
Mirrabooka,1/02/2016,0,179,75,96,827,298,4,240,45
Mirrabooka,1/03/2016,0,187,61,82,774,264,7,320,24
Mirrabooka,1/04/2016,0,172,74,58,728,267,6,249,39
Mirrabooka,1/05/2016,1,164,67,82,772,270,7,296,32
Mirrabooka,1/06/2016,0,155,65,83,741,293,4,306,36
Mirrabooka,1/07/2016,1,134,71,74,818,265,6,316,29
Mirrabooka,1/08/2016,1,149,83,83,802,334,5,286,30
Mirrabooka,1/09/2016,0,135,71,72,792,235,5,286,47
Mirrabooka,1/10/2016,4,111,86,81,830,287,6,238,32
Mirrabooka,1/11/2016,1,126,72,72,847,255,5,267,35
Mirrabooka,1/12/2016,0,148,73,77,760,303,13,197,31
Mirrabooka,1/01/2017,0,134,102,94,833,321,14,288,34
Mirrabooka,1/02/2017,0,123,74,75,708,274,4,280,33
Mirrabooka,1/03/2017,2,118,68,72,773,242,7,337,62
Mirrabooka,1/04/2017,1,108,86,73,763,244,7,257,24
Mirrabooka,1/05/2017,0,130,90,84,863,240,6,246,31
Mirrabooka,1/06/2017,2,97,85,96,812,204,11,269,71
Mirrabooka,1/07/2017,3,105,60,62,809,208,11,240,25
Mirrabooka,1/08/2017,1,117,84,52,815,227,7,313,60
Mirrabooka,1/09/2017,0,122,75,58,774,204,2,244,41
Mirrabooka,1/10/2017,0,114,81,69,887,237,4,192,19
Mirrabooka,1/11/2017,0,143,78,46,764,248,10,239,35
Mirrabooka,1/12/2017,0,140,96,72,726,241,7,226,38
Mirrabooka,1/01/2018,0,148,94,79,848,247,8,204,24
Mirrabooka,1/02/2018,1,90,93,67,831,207,6,206,26
Mirrabooka,1/03/2018,0,128,89,70,872,207,6,236,27
Mirrabooka,1/04/2018,0,114,91,62,709,177,3,188,40
Mirrabooka,1/05/2018,0,96,87,60,862,183,2,235,31
Mirrabooka,1/06/2018,1,124,65,60,975,182,4,267,39
Mirrabooka,1/07/2018,2,103,64,50,909,191,7,184,20
Mirrabooka,1/08/2018,0,120,65,58,907,189,6,290,31
Mirrabooka,1/09/2018,6,142,73,66,857,191,9,222,48
Mirrabooka,1/10/2018,0,121,70,77,1162,248,3,234,51
Mirrabooka,1/11/2018,0,99,98,80,957,208,3,247,21
Mirrabooka,1/12/2018,1,150,90,72,845,236,6,243,33
Mirrabooka,1/01/2019,0,123,96,61,781,230,7,188,27
Mirrabooka,1/02/2019,1,103,69,66,764,193,4,169,25
Mirrabooka,1/03/2019,0,126,61,56,770,181,10,230,30
Mirrabooka,1/04/2019,1,99,71,75,784,221,2,200,23
Mirrabooka,1/05/2019,1,112,60,60,836,197,7,241,37
Mirrabooka,1/06/2019,1,101,62,63,791,194,5,241,33
Mirrabooka,1/07/2019,0,122,61,47,740,171,2,233,26
Mirrabooka,1/08/2019,1,119,98,59,877,236,5,267,47
Mirrabooka,1/09/2019,1,138,91,69,871,236,4,187,23
Mirrabooka,1/10/2019,0,120,77,67,970,259,4,220,43
Mirrabooka,1/11/2019,2,148,102,67,978,223,4,218,31
Mirrabooka,1/12/2019,0,146,92,77,834,211,7,234,30
Mirrabooka,1/01/2020,2,162,67,80,966,208,17,188,14
Mirrabooka,1/02/2020,0,147,92,70,922,223,7,250,24
Mirrabooka,1/03/2020,1,187,89,51,693,235,9,267,27
Mirrabooka,1/04/2020,0,147,83,33,458,138,6,265,33
Mirrabooka,1/05/2020,0,124,45,30,413,170,1,434,40
Mirrabooka,1/06/2020,0,140,81,36,466,171,4,304,37
Mirrabooka,1/07/2020,0,148,87,38,458,176,2,240,21
Mirrabooka,1/08/2020,1,124,80,25,346,157,8,184,20
Mirrabooka,1/09/2020,0,148,72,33,433,172,7,161,26
Mirrabooka,1/10/2020,0,191,86,41,475,179,3,175,20
Mirrabooka,1/11/2020,1,159,84,34,507,194,4,230,11
Mirrabooka,1/12/2020,0,168,76,38,522,186,4,171,20
Mirrabooka,1/01/2021,1,213,97,39,600,232,5,137,11
Mirrabooka,1/02/2021,0,133,76,33,495,174,8,140,6
Mirrabooka,1/03/2021,0,172,95,56,617,204,8,219,27
Mirrabooka,1/04/2021,0,151,69,47,511,188,8,179,29
Mirrabooka,1/05/2021,0,157,83,45,586,206,5,189,47
Mirrabooka,1/06/2021,0,146,65,56,644,168,2,132,14
Mirrabooka,1/07/2021,1,162,93,47,616,218,7,155,17
Mirrabooka,1/08/2021,1,174,85,39,567,200,6,161,10
Mirrabooka,1/09/2021,1,118,74,30,641,183,7,120,18
Mirrabooka,1/10/2021,1,140,105,31,666,186,12,171,19
Mirrabooka,1/11/2021,0,140,79,35,645,175,7,192,13
Mirrabooka,1/12/2021,0,191,95,48,581,239,3,152,14
Mirrabooka,1/01/2022,0,136,83,56,624,246,10,156,26
Mirrabooka,1/02/2022,1,119,82,49,553,194,11,152,25
Mirrabooka,1/03/2022,1,152,90,58,662,194,9,157,23
Mirrabooka,1/04/2022,0,125,108,56,656,206,7,126,19
Mirrabooka,1/05/2022,0,136,97,53,748,171,2,171,29
Mirrabooka,1/06/2022,2,143,97,45,635,164,8,172,28
Mirrabooka,1/07/2022,0,124,57,51,660,195,5,137,22
Mirrabooka,1/08/2022,0,162,76,58,787,185,3,167,31
Mirrabooka,1/09/2022,0,168,120,51,685,208,6,164,33
Mirrabooka,1/10/2022,0,155,100,72,877,253,6,272,28
Mirrabooka,1/11/2022,1,168,77,59,803,221,5,116,27
Mirrabooka,1/12/2022,0,190,91,61,747,236,4,127,38
Perth,1/01/2007,0,33,186,42,800,275,3,146,20
Perth,1/02/2007,0,24,162,51,753,219,5,153,16
Perth,1/03/2007,0,19,167,48,796,312,2,109,26
Perth,1/04/2007,0,23,176,60,705,239,3,159,24
Perth,1/05/2007,1,16,162,45,760,268,2,206,36
Perth,1/06/2007,0,21,153,35,731,242,3,130,24
Perth,1/07/2007,0,16,169,36,763,267,3,145,27
Perth,1/08/2007,0,12,162,28,754,217,4,146,29
Perth,1/09/2007,1,19,197,33,815,262,0,155,20
Perth,1/10/2007,0,25,190,28,912,309,4,155,22
Perth,1/11/2007,1,21,176,29,875,333,4,121,18
Perth,1/12/2007,1,25,221,40,815,283,10,127,12
Perth,1/01/2008,2,23,203,47,847,300,9,95,22
Perth,1/02/2008,0,21,139,59,768,294,5,115,24
Perth,1/03/2008,1,26,181,40,814,286,3,97,18
Perth,1/04/2008,0,14,172,42,1038,327,4,134,16
Perth,1/05/2008,0,15,161,48,952,258,4,178,16
Perth,1/06/2008,1,20,143,52,1005,282,5,139,12
Perth,1/07/2008,0,17,143,47,861,252,0,163,19
Perth,1/08/2008,1,8,192,45,859,260,3,179,23
Perth,1/09/2008,1,10,162,25,822,241,2,147,19
Perth,1/10/2008,0,25,181,32,864,265,3,143,23
Perth,1/11/2008,1,21,156,39,769,224,4,143,15
Perth,1/12/2008,0,24,172,28,722,241,5,134,17
Perth,1/01/2009,0,41,205,49,734,257,9,257,19
Perth,1/02/2009,2,27,148,47,721,240,9,172,15
Perth,1/03/2009,0,35,183,44,881,298,12,101,14
Perth,1/04/2009,0,19,197,29,721,233,7,208,13
Perth,1/05/2009,0,26,174,41,651,222,9,180,16
Perth,1/06/2009,1,24,149,25,774,272,5,161,20
Perth,1/07/2009,1,34,194,26,704,267,6,159,10
Perth,1/08/2009,1,18,210,36,739,267,4,178,22
Perth,1/09/2009,0,10,172,37,719,214,8,155,21
Perth,1/10/2009,0,24,187,32,748,246,1,143,12
Perth,1/11/2009,1,34,158,23,675,198,2,138,15
Perth,1/12/2009,0,37,162,24,656,199,4,96,11
Perth,1/01/2010,0,33,190,36,659,229,2,114,16
Perth,1/02/2010,0,24,157,20,661,197,3,133,16
Perth,1/03/2010,0,31,149,21,670,187,3,112,26
Perth,1/04/2010,0,23,162,15,521,139,3,126,14
Perth,1/05/2010,0,23,148,22,638,183,1,135,15
Perth,1/06/2010,0,20,149,28,555,170,3,95,7
Perth,1/07/2010,0,16,146,25,550,155,5,230,3
Perth,1/08/2010,2,24,148,26,541,184,4,119,16
Perth,1/09/2010,1,27,164,26,702,201,8,147,6
Perth,1/10/2010,0,21,153,25,666,196,3,106,2
Perth,1/11/2010,0,16,135,33,647,168,0,127,17
Perth,1/12/2010,0,19,195,23,505,181,4,142,17
Perth,1/01/2011,0,38,185,32,593,176,3,85,17
Perth,1/02/2011,0,20,183,31,629,207,2,149,13
Perth,1/03/2011,0,29,156,43,713,193,1,97,15
Perth,1/04/2011,0,20,154,32,649,166,1,106,17
Perth,1/05/2011,0,23,142,45,733,223,6,87,12
Perth,1/06/2011,0,27,127,21,730,173,2,80,5
Perth,1/07/2011,0,16,168,22,732,237,2,84,15
Perth,1/08/2011,1,29,143,25,728,235,1,106,11
Perth,1/09/2011,0,21,126,32,704,188,2,98,8
Perth,1/10/2011,0,37,169,37,732,222,9,107,17
Perth,1/11/2011,0,20,127,29,640,183,1,91,10
Perth,1/12/2011,1,40,155,45,604,150,4,90,10
Perth,1/01/2012,2,41,173,54,662,164,3,93,13
Perth,1/02/2012,0,28,158,48,727,172,8,102,23
Perth,1/03/2012,2,21,160,39,652,193,3,104,13
Perth,1/04/2012,0,33,119,40,638,159,2,81,14
Perth,1/05/2012,0,25,117,27,618,174,2,129,16
Perth,1/06/2012,0,31,148,30,587,172,1,130,13
Perth,1/07/2012,0,26,124,39,642,161,4,101,16
Perth,1/08/2012,1,27,142,46,658,192,1,127,19
Perth,1/09/2012,0,28,130,38,667,185,5,86,16
Perth,1/10/2012,0,27,140,36,637,175,5,120,12
Perth,1/11/2012,0,36,141,32,628,166,3,123,3
Perth,1/12/2012,0,34,153,48,722,191,2,111,16
Perth,1/01/2013,0,35,143,23,630,164,1,169,21
Perth,1/02/2013,0,30,136,40,643,179,4,108,7
Perth,1/03/2013,1,42,162,64,633,169,3,135,15
Perth,1/04/2013,0,41,169,36,656,172,6,152,15
Perth,1/05/2013,2,23,90,39,671,152,1,100,11
Perth,1/06/2013,1,32,132,40,639,153,5,88,15
Perth,1/07/2013,0,26,143,55,684,162,0,107,14
Perth,1/08/2013,0,18,128,33,572,163,3,141,14
Perth,1/09/2013,0,30,129,29,585,155,3,98,13
Perth,1/10/2013,0,20,105,43,717,174,2,117,8
Perth,1/11/2013,0,35,139,37,614,162,2,148,28
Perth,1/12/2013,2,24,135,41,599,147,3,270,22
Perth,1/01/2014,1,27,127,36,705,190,2,160,18
Perth,1/02/2014,0,31,126,37,673,156,1,137,20
Perth,1/03/2014,1,28,152,48,757,207,6,197,22
Perth,1/04/2014,2,14,90,20,573,137,4,214,13
Perth,1/05/2014,0,29,108,33,617,145,2,176,21
Perth,1/06/2014,0,27,111,24,588,152,6,191,28
Perth,1/07/2014,0,24,123,37,672,158,1,151,23
Perth,1/08/2014,0,30,117,34,617,133,5,165,28
Perth,1/09/2014,0,34,103,43,606,140,0,111,15
